time	Qdflat(1)	tau(1)	hru_ea(1)	hru_rh(1)	hru_t(1)
units	(W/m^2)	()	(kPa)	(%)	(°C)
41909.29167	0	0.571291	0.507175	59.945	4.5585
41909.33333	64.0177	0.571291	0.501841	58.495	4.75725
41909.375	226.428	0.571291	0.502763	62.27	3.8925
41909.41667	387.692	0.571291	0.523562	67.6325	3.29675
41909.45833	520.326	0.571291	0.53552	74.29	2.29375
41909.5	611.044	0.571291	0.547323	72.1575	3.00925
41909.54167	651.874	0.571291	0.572255	65.97	4.91525
41909.58333	639.708	0.571291	0.563887	65.8975	4.72025
41909.625	575.463	0.571291	0.530294	68.4125	3.31525
41909.66667	464.11	0.571291	0.52599	71.0675	2.664
41909.70833	316.785	0.571291	0.516502	70.535	2.514
41909.75	148.855	0.571291	0.502613	68.32	2.57925
41909.79167	16.8719	0.571291	0.497754	67.8525	2.53925
41909.83333	0	0.571291	0.466559	60.3725	3.2725
41909.875	0	0.571291	0.422874	50.8375	4.31625
41909.91667	0	0.571291	0.390775	42.4975	5.75275
41909.95833	0	0.571291	0.39555	39.8975	6.84275
41910	0	0.571291	0.478009	47.6475	7.015
41910.04167	0	0.511742	0.511945	50.2375	7.24325
41910.08333	0	0.511742	0.528176	45.89	9.0325
41910.125	0	0.511742	0.507276	43.0025	9.3975
41910.16667	0	0.511742	0.51456	45.685	8.7125
41910.20833	0	0.511742	0.472416	41.4075	8.9025
41910.25	0	0.511742	0.369324	32.0775	9.0375
41910.29167	0	0.511742	0.279775	22.575	10.1325
41910.33333	59.1026	0.511742	0.276783	22.2925	10.16
41910.375	219.907	0.511742	0.353527	32.6525	8.1305
41910.41667	381.013	0.511742	0.31581	27.4625	9.01975
41910.45833	513.397	0.511742	0.317032	27.13	9.2575
41910.5	604.096	0.511742	0.331459	29.225	8.815
41910.54167	644.923	0.511742	0.377114	35.46	7.86775
41910.58333	632.757	0.511742	0.382849	34.35	8.5575
41910.625	568.522	0.511742	0.413726	43.265	6.31875
41910.66667	457.204	0.511742	0.377367	37.83	6.93225
41910.70833	310.206	0.511742	0.395313	40.9575	6.45325
41910.75	142.769	0.511742	0.4064	44.085	5.78925
41910.79167	14.7003	0.511742	0.393612	39.625	6.871
41910.83333	0	0.511742	0.423861	46.035	5.77175
41910.875	0	0.511742	0.412831	40.985	7.07375
41910.91667	0	0.511742	0.498217	47.73	7.59425
41910.95833	0	0.511742	0.59256	59.08	7.0115
41911	0	0.511742	0.608343	60.275	7.10275
41911.04167	0	0.388936	0.629707	62.3425	7.11425
41911.08333	0	0.388936	0.631684	60.045	7.70875
41911.125	0	0.388936	0.631513	59.9775	7.72125
41911.16667	0	0.388936	0.646002	62.4075	7.472
41911.20833	0	0.388936	0.691957	71.7875	6.434
41911.25	0	0.388936	0.693974	75.245	5.796
41911.29167	0	0.388936	0.675197	74.4725	5.5495
41911.33333	54.5018	0.388936	0.649637	69.3925	6.01175
41911.375	213.408	0.388936	0.653181	72.2775	5.503
41911.41667	374.163	0.388936	0.628173	69.31	5.5445
41911.45833	506.453	0.388936	0.635116	73.14	4.93025
41911.5	597.127	0.388936	0.607123	71.2725	4.6555
41911.54167	637.947	0.388936	0.691357	92.75	2.76375
41911.58333	625.783	0.388936	0.664382	97.35	1.52975
41911.625	561.56	0.388936	0.635247	92.375	1.63575
41911.66667	450.284	0.388936	0.637844	92.525	1.67
41911.70833	303.631	0.388936	0.631283	93.7	1.3505
41911.75	136.736	0.388936	0.627762	98.375	0.5985
41911.79167	12.6061	0.388936	0.618813	98.85	0.334
41911.83333	0	0.388936	0.6269	98.65	0.541
41911.875	0	0.388936	0.621019	97.225	0.61175
41911.91667	0	0.388936	0.568494	86.825	0.95425
41911.95833	0	0.388936	0.561424	82.075	1.56175
41912	0	0.388936	0.550098	75.84	2.38075
41912.04167	0	0.304956	0.491641	61.5375	3.743
41912.08333	0	0.304956	0.488158	63.21	3.263
41912.125	0	0.304956	0.432549	57.4425	2.90675
41912.16667	0	0.304956	0.461532	62.405	2.6535
41912.20833	0	0.304956	0.490415	71.68	1.5645
41912.25	0	0.304956	0.466529	67.3425	1.7385
41912.29167	0	0.304956	0.445245	66.145	1.33825
41912.33333	50.0714	0.304956	0.407794	61.7925	1.0635
41912.375	206.932	0.304956	0.370224	57.105	0.8175
41912.41667	367.478	0.304956	0.374364	55.595	1.34325
